TEAM,TEAM_KP,CONFERENCE,CONF_TYPE,WIN,LOSS,SEED,PTS/GM,AVG MARGIN,FGM/GM,FGA/GM,OFF EFF,DEF EFF,eFG%,TS%,3PT%,2PT%,FT%,3PTM/GM,3PTA/GM,OFF REB/GM,DEF REB/GM,TTL REB/GM,OFF REB%,DEF REB%,TTL REB%,BLKS/GM,STL/GM,AST/GM,TO/GM,AST/TO%,WIN% ALL GM,WIN% CLOSE GM,POSS/GM,PF/GM,OPP PTS/GM,OPP AVG MARGIN,OPP FG%,OPP eFG%,OPP 3PT%,OPP 2PT%,OPP FT%,OPP TS%,OPP AST/GM,OPP TO/GM,OPP AST/TO%,NET AST/TOV RATIO,STOCKS/GM,STOCKS-TOV/GM,NET RANK,KenPom RANK,KenPom EM,KenPom AdjO,KenPom AdjD,KenPom AdjT,KenPom Luck,KenPom SOS EM,KenPom SOS OppO,KenPom SOS OppD,KenPom NCSOS Adj EM
Wichita St,Wichita St.,Amer,MM,17,15,0,71,2.5,25.8,57.5,1.01,0.974,50.7,107.8,30.9,53.3,71.6,6.6,21.4,8.3,25.3,36.3,26.8,73.9,51.5,4,6.3,13.3,12.5,1.062,0.531,0.455,70.3,14.9,68.5,-2.5,40.6,47.5,33.6,45.4,71.5,101,13.9,11.7,1.196,-0.13,10.3,-2.2,112,103,6.51,106.8,100.3,66.3,-0.049,2.79,106.3,103.5,-1.8
W Virginia,West Virginia,B12,P5,19,14,9,76.3,5.3,26.1,57.5,1.069,0.995,51.7,111.7,34.8,51.3,74.1,7.3,20.9,9.9,21.6,33.8,32.1,72.3,51.9,3.1,6.7,13.2,13,1.014,0.576,0.429,71.4,18.4,71,-5.3,44.8,50.7,34.1,50.5,72.7,109.4,12.4,14.6,0.845,0.17,9.8,-3.2,25,17,19.14,117.1,98,68.9,-0.054,12.74,111,98.2,2.26
Rob Morris,Robert Morris,Horz,MM,16,17,0,67.5,-0.3,24.9,57.3,0.985,0.989,49.2,104.5,31.4,50.4,72.4,6.6,20.9,9.3,22.9,34.4,29.1,74,50.3,4.2,6.5,13.4,13.1,1.022,0.452,0.444,68.5,16.5,67.7,0.3,43.8,49.6,36.2,47.4,72.9,106.2,10.8,12.8,0.846,0.18,10.7,-2.4,247,236,-5.51,99.2,104.7,66.4,-0.041,-5.61,102.9,108.5,-1.81
Lehigh,Lehigh,Pat,MM,16,14,0,68,-3,24.3,55.3,0.959,1.002,49.8,107.1,35,48.4,75.1,6.5,18.6,4.8,23.9,31.8,15.9,75.8,46.8,2.1,5.8,11.7,12.1,0.97,0.5,0.556,70.8,16.8,71,3,44.6,50.4,32.8,51,68.4,105.9,12.5,11.5,1.09,-0.12,7.9,-4.2,274,287,-9.73,97.9,107.6,69.5,0.084,-6.93,101.2,108.2,-2.21
UC San Diego,UC San Diego,BW,MM,0,0,0,67.3,-6.2,24.5,56.8,0.964,1.053,49.6,105.4,33,49.6,74,7.4,22.3,6.3,22,32.7,20.2,72,47.1,2.2,5.5,11.6,12.2,0.95,0.286,0.571,69.8,16.1,73.5,6.2,45.2,51.8,37.1,49.7,72.8,109.4,15.2,11.2,1.354,-0.40,7.7,-4.5,277,269,-8.53,102,110.6,66.1,0.03,-0.01,104.5,104.5,1.26
Geo Wshgtn,George Washington,A10,MM,16,16,0,76,-1.3,27.1,57.7,1.054,1.072,53,113.2,32.1,56,74.6,7,21.9,7.7,24.5,34.5,25.5,71.9,49.7,3.3,5.7,12.6,12.5,1.005,0.484,0.6,72.1,16.2,77.3,1.3,45.1,52,34.9,51.7,70.6,109.2,14.4,11,1.305,-0.30,9.0,-3.5,211,218,-3.32,109.2,112.5,69.1,0.025,-1.76,103.3,105,-5.58
Oklahoma St,Oklahoma St.,B12,P5,18,15,0,68.5,2.4,24.3,56.4,0.971,0.938,49.3,105,31.1,51,69.4,6.9,22.2,9.2,24.5,36.8,29.4,74.8,52.3,4.9,5.7,12.5,14.2,0.883,0.546,0.444,70.5,17.3,66.1,-2.4,39.8,45.9,31.8,44.7,74.8,100.3,12.1,13.1,0.921,-0.04,10.6,-3.6,43,38,15.21,107.8,92.6,67.6,-0.026,12.33,110.8,98.5,0.74
Texas,Texas,B12,P5,26,8,2,77.9,10.4,28.2,60.3,1.073,0.929,52.7,112.4,33.9,53.8,75.2,7.1,21.1,8.7,23.1,34.3,27.5,73.3,49.4,3.7,8.1,16.1,11.7,1.377,0.765,0.875,72.6,17.6,67.4,-10.4,42,47.8,32.7,47.1,72.4,103.6,11.4,16.2,0.701,0.68,11.8,0.1,7,6,24.57,116.6,92,69.1,0.02,12.11,111,98.9,-0.66
Georgia St,Georgia St.,SB,MM,0,0,0,65.1,-5.9,23.2,56.4,0.934,1.018,45.6,99.5,29,46.5,72.1,5,17.3,8.5,21.2,33,27.4,72.6,49.7,3.4,5.7,10.4,13.3,0.787,0.25,0.333,69.7,17.9,70.9,5.9,44.5,50.7,36.5,48.6,72.4,108.7,13,11.9,1.093,-0.31,9.1,-4.2,291,277,-9.24,98.1,107.4,67,-0.077,-1.39,103.7,105.1,-5.15
Oregon St,Oregon St.,P12,P5,0,0,0,60.5,-6.5,20.7,51,0.92,1.019,46.5,102.1,32,45.6,75.4,6,18.9,6.8,21.4,30.7,23.2,70.1,47.8,2.9,5.3,9.7,13.5,0.719,0.323,0.556,65.8,17.7,67,6.5,43.1,49.6,33.7,49.1,71.6,106.4,13.6,11.8,1.15,-0.43,8.2,-5.3,222,210,-2.89,100.3,103.2,63.7,0.015,7.21,107.6,100.4,-6.55
Indiana St,Indiana St.,MVC,MM,22,12,0,78.6,9.3,27.6,57.3,1.087,0.958,56.4,119.2,35.7,58.8,76.8,9.5,26.5,5.8,25.5,34.1,19.8,79.3,51.3,1.9,6.4,15.8,11.9,1.322,0.636,0.417,72.4,16.7,69.3,-9.3,42.5,48.2,31.8,48.5,73.2,103.9,9.9,12.5,0.796,0.53,8.3,-3.6,93,97,7.39,110.6,103.2,70.6,-0.104,-4.5,102.1,106.6,-6.55
Mississippi,Mississippi,SEC,MM,0,0,0,67.5,-1.6,24.7,58.6,0.98,1.003,47.5,101.2,30.3,48.6,69.5,6.2,20.3,10.1,22.1,35.8,31.6,73.2,51.2,3.7,7.1,13.1,12.2,1.072,0.364,0.273,68.9,15.9,69.1,1.6,43.7,49.5,33.8,48.9,74.5,106.4,13.9,12.1,1.153,-0.08,10.8,-1.4,,115,5.03,106.8,101.7,66.1,-0.078,8.03,108.9,100.8,1.46
Boise State,Boise St.,MWC,MM,24,9,10,71.7,7,25.6,56.7,1.038,0.937,51.9,110.4,36,50.7,73.9,7.7,21.5,7.5,25.4,35.4,24.9,78.4,52.1,2.9,5.1,11,11.3,0.972,0.719,0.625,69,16.5,64.7,-7,41.5,47.3,31,47.8,69.3,100.5,10.9,12,0.906,0.07,8.0,-3.3,29,31,17.13,111,93.8,66.5,0.013,7.6,109.5,101.9,1.37
TX Christian,TCU,B12,P5,21,12,6,75.2,7.3,27.7,60.6,1.037,0.937,50.2,106.9,30.6,51.9,70.1,5.5,17.8,10.3,23,35.7,31.3,71.5,50.4,4.7,8.2,16.2,12.2,1.331,0.636,0.546,72.5,16.2,67.9,-7.3,42.5,47.8,30.4,49.1,71.1,102.3,13.8,15.6,0.885,0.45,12.9,0.7,28,27,18.06,112.4,94.3,69.8,-0.034,10.7,109.8,99.1,-7.05
Dixie State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0,,,,,,,,,,,
Bellarmine,Bellarmine,ASun,MM,15,18,0,63.5,-6.1,23.1,51.6,0.99,1.084,51.7,109.8,32.6,53.9,77.1,7.3,22.3,5,20.7,28.2,18.1,73.1,46.6,1.2,5.1,13,11.5,1.128,0.4,0.778,64.2,16.5,69.6,6.1,45.2,54.7,36.3,55,73.2,115.2,14,11.2,1.254,-0.13,6.3,-5.2,258,261,-7.97,102.4,110.4,62.2,0.084,0.41,106.4,106,5.96
Rutgers,Rutgers,B10,P5,19,14,0,67.9,7.5,25.2,58.9,0.998,0.887,47.6,101.5,31.8,47.6,70.2,5.7,17.8,9.8,24.3,37.5,30,74.4,52.2,3.9,8.8,15,11.5,1.307,0.576,0.556,68,16,60.3,-7.5,39.4,45.9,30.5,46.1,68.7,98.1,12.2,14.4,0.845,0.46,12.7,1.2,40,35,15.77,105.8,90.1,65.9,-0.092,7.95,109.9,101.9,-7.79
NC Central,North Carolina Central,MEAC,MM,18,12,0,71.1,3.2,25.3,56.3,0.987,0.942,50.9,108.5,35,50.1,71.1,6.8,19.6,9,22.5,35,29.9,72.7,51.7,3,7.2,12.9,15.9,0.812,0.539,0.455,72,19.5,67.9,-3.2,43.2,48.9,31.3,49.9,69.1,104.6,13.1,15.2,0.861,-0.05,10.2,-5.7,,189,-1.23,100.9,102.1,67.9,-0.058,-5.94,101.1,107,5.02
High Point,High Point,BSth,MM,14,17,0,72.5,-4.7,25.5,58.1,0.989,1.052,50.2,105.4,32.3,51.4,62.8,7.4,23,9.7,24.4,37.1,28.7,70.4,49.7,4.8,6,12.1,14,0.869,0.414,0.636,73.3,18.8,77.2,4.7,44.5,50.7,32.5,52,66.9,107.1,14.1,11.7,1.206,-0.34,10.8,-3.2,290,302,-11.07,100.2,111.3,71.5,0.054,-5.53,103.1,108.7,-4.31
TX El Paso,UTEP,CUSA,MM,14,18,0,66.9,-2.6,24.3,55,0.943,0.979,48.6,102.7,29.1,50.7,62.8,4.8,16.5,10,21.4,34.7,31.5,71.9,51.1,2.6,8.2,11.5,15.9,0.723,0.4,0.5,70.9,18.4,69.4,2.6,44.9,51.1,33.2,51.8,72.3,109.6,10.6,15.9,0.667,0.06,10.8,-5.1,192,197,-1.54,99.1,100.6,67,-0.008,1.35,106,104.7,-2.13
St Josephs,Saint Joseph's,A10,MM,16,17,0,72.4,0,24.8,58.2,1.015,1.015,50.2,107,32.9,50.9,70.3,8.8,26.7,8.8,22.7,34.6,27.1,70.4,48.9,3.2,6.5,12.1,12.8,0.948,0.485,0.571,71.3,17.5,72.4,0,43.4,50.5,34.1,50.1,70.6,107.5,14.9,13.2,1.124,-0.18,9.7,-3.1,200,195,-1.51,104.4,105.9,69.3,-0.007,-1.85,104.4,106.3,-5.79
UC Davis,UC Davis,BW,MM,18,14,0,73.2,1.4,24.7,56.3,0.999,0.98,49.8,108.1,33.5,49.6,71,6.6,19.7,9.1,23.1,35.8,29.5,73.3,51.7,2.6,7.1,11.8,14.7,0.805,0.533,0.364,73.2,18.8,71.7,-1.4,45.2,50.7,36.7,48.9,70.4,107.6,11.8,14.9,0.796,0.01,9.7,-5.0,147,154,1.16,104.8,103.7,70.5,-0.028,-1.77,103.3,105.1,-0.8
St Fran (PA),St. Francis PA,NEC,MM,13,18,0,70.9,-4.1,25.4,55.9,1.014,1.073,51.9,109.7,36.4,50.4,69.9,7.3,20,7.2,23.1,32.9,23.9,71.7,48.7,2.1,4.2,13.3,12.6,1.055,0.379,0.429,69.9,16.7,75,4.1,46,51.9,33.7,52.6,68.8,108.9,14,10.1,1.378,-0.32,6.3,-6.3,,342,-16.92,99.7,116.6,68.4,-0.009,-11.91,98,110,-0.92
Mass Lowell,Massachusetts,A10,MM,15,16,0,76.3,9.2,27.5,57.7,1.075,0.946,53.5,113.8,37.7,52.2,74,6.8,17.9,10.4,24.3,37.6,34.5,75.2,55.1,4.8,6.8,14.1,13.9,1.013,0.75,0.5,70.9,17.2,67.1,-9.2,41.4,47,34.2,44.9,72.9,102.2,10.8,13.7,0.792,0.22,11.6,-2.3,205,212,-3,100.9,103.9,70.6,0.036,-0.37,104.4,104.8,-1.15
La Salle,La Salle,A10,MM,15,19,0,69.8,-2.8,25.4,59.9,0.986,1.025,48.5,102.7,34.2,46.9,69.3,7.3,21.4,9.5,22.8,35.4,28.3,71.1,49.4,3.2,6.7,12,12.5,0.958,0.441,0.556,70.8,17.8,72.6,2.8,45,51,34.5,50.6,68.6,107.5,13.4,12.4,1.083,-0.13,9.9,-2.6,223,225,-4.35,103.4,107.8,67.8,0.04,-1.1,104,105.1,-2.41
GA Tech,Georgia Tech,ACC,P5,15,18,0,68.7,-2.8,25.5,60.7,0.991,1.032,48.4,101.8,33.4,47.4,69.5,7.9,23.5,8.6,23,34.4,25.4,72.5,48.2,4,5.8,13.7,10.5,1.303,0.419,0.571,69.3,15.9,71.5,2.8,44.6,50.1,31,52,71.6,106.6,14.8,10.8,1.366,-0.06,9.8,-0.7,179,167,0.16,104.3,104.1,66.7,-0.003,4.41,108.7,104.3,-2.95
Tulsa,Tulsa,Amer,MM,0,0,0,65.3,-12.1,23.8,57.8,0.925,1.097,47.9,100.3,31.3,48.6,64.6,7.7,24.5,7.7,21.2,32,22.9,68,45.3,1.5,5.5,11.6,13.2,0.877,0.167,0.125,70.6,15.5,77.4,12.1,47.4,53.6,31.3,57.9,72.9,112.6,16.5,11.8,1.397,-0.52,7.0,-6.2,324,314,-12.37,99,111.4,68,-0.046,3.84,106.7,102.9,-3.28
Rider,Rider,MAAC,MM,16,14,0,69.6,1.4,26.1,57.8,1.036,1.015,49.5,105.8,33.3,49.3,73.5,5,14.9,9.6,22.9,35.8,32,72.5,53.1,2.1,5.1,11.3,11.8,0.962,0.517,0.438,67.2,18.3,68.2,-1.4,42.6,50.3,36.2,47.5,64.5,106.1,12.1,10.9,1.108,-0.15,7.2,-4.6,217,203,-2.59,106.3,108.9,65.1,-0.039,-5.62,101.2,106.8,-2.58
Pepperdine,Pepperdine,WCC,MM,0,0,0,76.9,-4.8,28.6,62.4,1.006,1.069,52,109.3,35.2,51.6,71.5,7.9,22.4,8,24.5,35.1,24.7,72.3,48.1,3.8,5.5,14.3,13.8,1.04,0.241,0.2,76.5,17.8,81.8,4.8,46.5,52.5,36.3,51.6,70.1,110.8,13.9,12.4,1.119,-0.08,9.3,-4.5,201,178,-0.75,105.4,106.2,72.2,-0.14,5.44,109.8,104.3,3.39
Gard-Webb,Gardner Webb,BSth,MM,15,16,0,67.4,0.8,24.8,54.8,0.972,0.961,50.7,105.7,32.8,51.5,62.5,6,18.4,7.9,23.2,33.9,25.9,78,51.4,4.5,6.9,11.7,13.2,0.885,0.448,0.357,69.4,19.3,66.7,-0.8,42.6,49.1,34.7,47.4,71.6,106.6,10.9,13.7,0.796,0.09,11.4,-1.8,,202,-2.57,99,101.6,66.2,-0.091,-4.01,103.7,107.7,1.65
Louisville,Louisville,ACC,P5,0,0,0,63.9,-11.8,22.4,53.1,0.936,1.109,48,104.1,32.9,47.3,74.1,6.3,19,7.7,22.1,32.2,25.8,71.5,49.2,2.8,4.5,9.3,14.9,0.626,0.125,0,68.3,16.5,75.8,11.8,47.1,54.1,35.2,54.9,72.2,113.7,15.4,10.2,1.514,-0.89,7.3,-7.6,315,295,-10.27,101.4,111.6,66.5,-0.035,6.02,108.7,102.7,1.83
Canisius,Canisius,MAAC,MM,0,0,0,69.4,-3.6,25.1,60,0.984,1.035,48.6,103.4,33.6,47.4,73.4,8.1,24.1,8.7,21.5,33.3,26.7,72.1,48.2,2.6,5.4,14,12,1.16,0.31,0.231,70.5,15.6,73,3.6,47,52.8,36.4,52,70.1,110.6,13.5,12.9,1.045,0.12,8.0,-4.0,262,249,-6.68,101.8,108.5,67.7,-0.081,-3.18,103.4,106.6,3.42
F Dickinson,Fairleigh Dickinson,NEC,MM,19,15,16,76.3,0.3,27.8,61.6,1.067,1.062,51.5,109.4,34.4,51.4,75,7.8,22.8,9.7,20.5,33.2,29.8,72.9,49.8,1.9,7.4,14.3,11.4,1.251,0.531,0.6,71.5,19.1,76,-0.3,48.4,55.8,36.9,56.1,75.6,118.4,15.1,15,1.006,0.25,9.3,-2.1,301,312,-12.25,106.2,118.4,68.8,0.017,-14,96.3,110.3,-7.11
Miss Val St,Mississippi Valley St.,SWAC,MM,0,0,0,61,-13.7,21.3,52.5,0.868,1.063,45.4,98.4,34.9,42.8,66.5,5.1,14.5,7.9,20.6,32,25.8,68.7,47.7,2,7.6,10,16.1,0.625,0.156,0.429,70.3,17.9,74.8,13.7,46.2,53.3,35.8,53,68.5,112.5,13.8,13.4,1.028,-0.40,9.6,-6.5,,355,-19.79,92.7,112.5,67.2,-0.026,-3.44,102.1,105.5,9.11
Lafayette,Louisiana,SB,MM,26,7,13,62.4,-3.3,22.6,55.3,0.942,0.992,48.7,101,32.7,48.4,62.6,8.8,26.8,7.2,22.4,32.5,22,76.7,48.2,3,5.8,15.5,11.6,1.333,0.324,0.25,66.2,15.4,65.6,3.3,43.8,50.8,34.1,50.6,69.8,107.3,13,11.8,1.1,0.23,8.8,-2.8,89,92,8.2,112.2,104,68.4,0.077,-0.27,104.2,104.5,0.26
Hawaii,Hawaii,BW,MM,22,11,0,66.5,4.5,23.1,54.4,0.989,0.921,48.6,105.4,32.8,48.2,74.6,6.6,20.2,8.1,23.9,35.3,26.9,76,52.1,3.8,4.6,10.8,12.2,0.89,0.656,0.455,67.3,16.2,62,-4.5,40.6,44.5,29.5,44.5,74.3,96.7,7.6,10.8,0.704,0.19,8.4,-3.8,127,126,3.86,102.1,98.2,64.8,-0.014,-3.09,102.9,106,-5.67
Rhode Island,Rhode Island,A10,MM,0,0,0,66,-4.6,22.5,56.9,0.928,0.994,44.2,98.6,30.4,43.6,74.4,5.4,17.8,9.1,23.5,37,27.6,71.8,50.7,3.8,6.4,11.2,14.1,0.794,0.29,0.4,71.1,18,70.6,4.6,43.5,49.1,32.1,49.6,69.5,104.5,13.1,11.9,1.1,-0.31,10.2,-3.9,265,256,-7.13,97.7,104.8,67.3,-0.016,-0.78,104.1,104.9,-2.66
Minnesota,Minnesota,B10,P5,0,0,0,62.9,-8.2,23.2,53.7,0.928,1.049,49,102.2,32.5,49.2,61.9,6.2,19.1,6.8,23.1,32.8,21.9,72.2,47.5,4,4.6,14.6,12.9,1.132,0.29,0.546,67.7,15.5,71,8.2,44.9,50.5,35.9,49.1,70.7,106.1,14,9.7,1.434,-0.30,8.6,-4.3,220,217,-3.29,102.6,105.9,65.9,0.03,8.84,108.7,99.9,-7.47
Troy,Troy,SB,MM,20,13,0,70.4,2.6,24.9,57.8,1.002,0.965,49.4,105.6,31.2,51.2,71,7.4,23.6,8.7,22,34.1,27.9,71.9,49.6,2.3,8,13,12.8,1.013,0.567,0.5,70.3,17.3,67.8,-2.6,42.8,48.6,32.7,48.4,75.6,106,10.8,14.4,0.751,0.26,10.3,-2.5,135,128,3.56,104.8,101.3,67.9,-0.02,-0.11,104.6,104.7,0.11
Boston Col,Boston College,ACC,P5,16,17,0,66.6,-3.6,24.8,56.8,0.973,1.026,48.7,103.8,31.9,49.1,72.5,5.7,17.9,8.4,22.4,33.2,26.4,73.9,49.4,3.5,6.3,12.5,12.2,1.022,0.485,0.625,68.5,15.8,70.2,3.6,44.3,51.5,36.8,49.1,72.6,108.9,12.4,12.3,1.005,0.02,9.8,-2.4,168,172,-0.45,102.6,103,66.6,0.09,3.85,108.1,104.2,-4.37
Coppin State,Coppin St.,MEAC,MM,0,0,0,72,-11.2,24.3,55.9,0.951,1.098,51,109.4,33.8,51.3,71.9,8.4,24.8,5.3,22.3,30.4,16.2,66.1,42.3,2.5,7.7,11.3,14.9,0.757,0.281,0.6,75.7,19.7,83.2,11.2,46.2,53.2,34,54.8,72.3,112.8,17.1,13.7,1.248,-0.49,10.2,-4.7,328,338,-16.04,99.2,115.2,71.5,0.067,-2.21,103.2,105.4,3.96
Stetson,Stetson,ASun,MM,17,13,0,74.6,0,26.6,58.4,1.099,1.099,54.1,114,38.6,51.1,77,9.9,25.6,8,21.6,33.4,26.2,73.2,50,3,4.6,13.1,10.4,1.26,0.536,0.5,67.9,15.6,74.6,0,46.6,53.3,36.2,52.7,73.8,112.6,14,9.6,1.457,-0.20,7.6,-2.8,157,165,0.2,113.7,113.5,64.7,0.034,-0.63,105.7,106.3,6.39
TN Martin,Tennessee Martin,OVC,MM,19,14,0,76.4,-0.8,26.9,60.3,1.016,1.026,50.4,108.2,31.9,51.9,71.6,7,22,8.3,25.8,37.6,24.8,73,49.7,3.3,7,12,12.3,0.975,0.517,0.556,75.2,18.9,77.1,0.8,43,49.6,32.3,50.5,69.6,105.8,14.7,12.3,1.196,-0.22,10.3,-2.0,,275,-8.9,101.9,110.8,71.2,0.046,-8.47,101.3,109.7,-2.25
Temple,Temple,Amer,MM,16,16,0,69.6,-0.6,23.6,55.4,0.992,1.001,49.7,107.8,33,49.9,75.7,8,24.2,7.9,24.2,35.2,25.9,73.5,50.4,4,5,13.8,13.6,1.014,0.5,0.539,70.2,16.8,70.2,0.6,43.1,48.7,33.6,47.9,69.9,103.9,13.1,11.3,1.164,-0.15,9.0,-4.6,125,118,4.57,107.3,102.7,66,0.021,5.04,106.9,101.8,1.38
SIU Edward,SIU Edwardsville,OVC,MM,19,14,0,73.2,1.1,24.5,57.8,1.009,0.994,48.5,106.3,32.3,48.5,73.6,7,21.7,9.7,24.4,36.8,29.2,73.2,50.6,4,6.7,11.8,13.1,0.896,0.533,0.556,72.6,17.9,72.1,-1.1,42.9,49,33.6,48.1,72.6,105.7,11.8,13.6,0.87,0.03,10.7,-2.4,,242,-6.21,100.1,106.3,69.2,-0.012,-8.07,101.9,109.9,-0.96
N Hampshire,New Hampshire,AE,MM,15,15,0,64.6,-3.4,22.5,57.7,0.96,1.009,45.8,98.2,33.4,42.8,69,7.9,23.6,8.6,23.7,34.8,25.2,74.2,48.2,2.6,5.2,11.3,9.9,1.133,0.464,0.5,67.3,15.3,68,3.4,44,49.1,31.5,50,70.1,104.4,9.9,10.7,0.923,0.21,7.8,-2.1,268,286,-9.72,97.4,107.2,64.2,0.05,-6.09,102.2,108.3,-5.18
Alcorn State,Alcorn St.,SWAC,MM,18,13,0,68.1,-2.5,24.1,58.5,0.969,1.004,45.5,99.8,29.6,46,72.4,5.1,17.4,10.3,20.8,33.9,32.1,69.5,50.2,2.5,8,10,12.7,0.789,0.581,0.667,70.3,19,70.6,2.5,44.7,51.4,33,52.6,68.6,109.3,14.2,14.5,0.978,-0.19,10.5,-2.2,,241,-6.17,102.1,108.3,67.3,0.139,-5.37,99.6,105,8.84
Columbia,Columbia,Ivy,MM,0,0,0,65.3,-12,23.1,58.9,0.896,1.061,45.5,97.9,30.4,45.4,71.1,7.3,24,8,22,33.6,23.2,67.9,45.4,1.9,6.3,10.8,14.2,0.762,0.185,0.5,72.9,17.1,77.3,12,46.3,52,33.1,53.2,70.2,109.2,15.4,12.5,1.231,-0.47,8.2,-6.0,341,340,-16.85,94.5,111.3,69.5,0.013,-2.23,103.5,105.8,-6.91
Fairfield,Fairfield,MAAC,MM,13,18,0,64.2,-2.5,21.9,53.8,0.959,0.996,46,101.1,28.6,47.8,72.2,5.6,19.7,8.6,21.6,33.1,27.3,72.7,49.2,3.5,5.4,9.2,11.9,0.771,0.4,0.556,66.9,15.4,66.7,2.5,44.6,49.3,29.3,51.7,72.5,104.9,10.9,11.7,0.934,-0.16,8.9,-3.0,264,264,-8.08,98.9,107,65.1,0,-4.68,101.7,106.4,-1.34
Iowa State,Iowa St.,B12,P5,19,13,6,68.4,5.7,25.6,56.9,1.01,0.926,50.7,106.2,33.9,50.7,67.4,6.5,19.3,9.8,20.9,33.5,31.9,75.9,52.6,2.9,8.8,14.1,13.1,1.074,0.594,0.5,67.8,19.1,62.8,-5.7,42.2,50.1,33.8,49.6,71.9,108.4,11.8,16.6,0.713,0.36,11.7,-1.4,20,23,18.33,109.9,91.6,64.3,-0.034,12.88,112.4,99.5,-1.29
Dartmouth,Dartmouth,Ivy,MM,0,0,0,68.9,-5.5,24.8,57.3,0.951,1.027,50,105.7,32.6,50.8,69.6,7.8,23.8,6.8,23.5,33.7,21.5,75.6,48.5,3.9,5,12.2,14.3,0.853,0.308,0.625,72.5,17.7,74.4,5.5,45.4,51.3,34,51.6,72.9,109.3,12,11.7,1.026,-0.17,8.9,-5.4,279,267,-8.35,99.4,107.7,68.8,0.002,-1.35,104,105.3,-3.51
Stanford,Stanford,P12,P5,14,19,0,70.3,2,25.4,56.2,1.044,1.015,52.4,109.9,36.3,51.1,69.4,8.1,22.3,9.2,22.8,34.8,30.3,75.6,52.4,3.2,5.7,14.8,12.5,1.186,0.424,0,67.4,16.9,68.4,-2,44.3,51.5,35.4,50.4,73.1,109.2,12.6,12.1,1.038,0.15,8.9,-3.6,97,83,9.76,114.1,104.4,65.8,-0.125,8.15,107.7,99.6,-0.1
Siena,Siena,MAAC,MM,17,15,0,68.6,1.4,23.9,55.3,0.999,0.979,49.3,106.6,34.9,47.8,73.6,6.7,19.1,8.8,22.8,34.3,29,75.1,51.9,4.2,5.7,12.8,13.1,0.974,0.531,0.333,68.7,17.1,67.2,-1.4,44.9,49.6,33.5,49.4,68.6,105.4,10.7,12.4,0.857,0.12,9.9,-3.2,208,207,-2.67,102.3,105,66.9,-0.03,-5.38,101.5,106.9,-3.73
St Peters,Saint Peter's,MAAC,MM,14,18,0,60.9,-4.6,22,56.7,0.934,1.005,43.9,94.6,29,44.1,68.8,5.8,20,11.1,19.5,34.1,34.4,71.9,51.3,3.1,6.3,10.3,12.4,0.83,0.419,0.571,65.2,21.4,65.5,4.6,43.4,49.5,34.3,48.4,72,109.3,10.4,12.5,0.83,0.00,9.4,-3.0,306,308,-11.66,96.9,108.6,63,0.055,-6.07,101.3,107.3,-8.39
Fordham,Fordham,A10,MM,25,8,0,72,4.4,24.2,57.6,0.996,0.936,48.6,106,31.8,49.1,74.1,7.6,24,9.3,24.9,36.8,28.6,78,52.1,4.8,7.2,12.7,13.5,0.939,0.758,0.875,72.3,19.6,67.6,-4.4,42,46.9,32,46.4,73.2,102.9,11.4,13.8,0.827,0.11,12.0,-1.5,134,139,2.51,103.2,100.7,69.7,0.121,-4.55,101.9,106.5,-13.52
VCU,VCU,A10,MM,27,7,12,71.5,8.4,24.9,53.5,1.016,0.896,52.2,111.5,34.4,52.5,70,6,17.5,7.9,22.6,33.3,26.5,73.7,50.4,4.6,9.1,13.1,13.6,0.964,0.788,0.667,70.4,16.2,63.1,-8.4,41.8,47.4,33,46.3,69.7,101.3,11.5,16.7,0.69,0.27,13.7,0.1,53,58,13.15,107.2,94,68,0.017,0.47,105.1,104.7,-1.78
Loyola-MD,Loyola MD,Pat,MM,13,20,0,65.9,-5.9,24.2,54.5,0.972,1.059,51.3,106.6,35.6,50,64.6,7.5,21.2,7.6,20.7,30.5,24.9,73.2,48,2.4,7.2,13.1,13.6,0.964,0.355,0.5,67.8,16,71.8,5.9,48.7,55.5,37.2,55.3,70.6,115.6,14.4,13.4,1.072,-0.11,9.6,-4.0,,327,-14.12,98.8,113,66.1,0.032,-6.74,101.3,108.1,-4.58
Old Dominion,Old Dominion,SB,MM,19,12,0,66.7,0.2,23.7,56.8,0.985,0.981,46.4,100.3,31.5,46.1,68,5.3,16.9,10.4,23.6,37.5,31.7,74.3,51.7,3.7,6.5,10.5,11.3,0.932,0.6,0.667,67.7,16.9,66.5,-0.2,41.6,48.3,31.7,48.8,66.9,102.8,13.1,11.7,1.12,-0.19,10.2,-1.1,153,174,-0.61,103.2,103.8,65,0.099,-0.59,104.3,104.9,-1.54
Central Mich,Central Michigan,MAC,MM,0,0,0,64.7,-9.3,22.2,54.3,0.911,1.043,46.5,101.2,30,47.4,70.4,6.2,20.7,8.9,21.8,34.3,28.1,70.2,48.8,3.6,5.8,10.6,15.8,0.67,0.276,0.5,71,20.2,74,9.3,44.7,51.9,35.6,50.8,67.7,110.1,13,13.2,0.982,-0.31,9.4,-6.4,,333,-15.3,93,108.3,67.2,0.036,-2.75,105.5,108.2,-1.68
