TEAM,TEAM_KP,CONFERENCE,CONF_TYPE,WIN,LOSS,SEED,PTS/GM,AVG MARGIN,FGM/GM,FGA/GM,OFF EFF,DEF EFF,eFG%,TS%,3PT%,2PT%,FT%,3PTM/GM,3PTA/GM,OFF REB/GM,DEF REB/GM,TTL REB/GM,OFF REB%,DEF REB%,TTL REB%,BLKS/GM,STL/GM,AST/GM,TO/GM,AST/TO%,WIN% ALL GM,WIN% CLOSE GM,POSS/GM,PF/GM,OPP PTS/GM,OPP AVG MARGIN,OPP FG%,OPP eFG%,OPP 3PT%,OPP 2PT%,OPP FT%,OPP TS%,OPP AST/GM,OPP TO/GM,OPP AST/TO%,NET AST/TOV RATIO,STOCKS/GM,STOCKS-TOV/GM,NET RANK,KenPom RANK,KenPom EM,KenPom AdjO,KenPom AdjD,KenPom AdjT,KenPom Luck,KenPom SOS EM,KenPom SOS OppO,KenPom SOS OppD,KenPom NCSOS Adj EM
NW State,Northwestern St.,Slnd,MM,22,11,0,74.5,2.3,27.3,61.3,1.053,1.02,51.3,107.6,35.8,49.8,69.7,8.4,23.4,10.1,20.3,34,31.1,68.8,48.9,2.3,8.1,12.5,11.9,1.055,0.656,0.727,70.8,18.6,72.2,-2.3,45.4,51,32.9,51.8,74.8,110.6,13,14.4,0.898,0.16,10.4,-1.5,203,214,-3.11,106,109.1,66.7,0.085,-7.65,102.4,110,2.63
Liberty,Liberty,ASun,MM,26,8,0,73,10.9,26.3,56.2,1.1,0.936,55.7,115.8,36.5,56.5,72.3,10,27.3,7,23.7,33.4,24.1,81.3,51.9,2,6.3,15.4,10.3,1.491,0.742,0,66.4,15.1,62.1,-10.9,42.8,49.3,34.9,47.5,72.8,105,9.5,12.6,0.747,0.74,8.3,-2.0,44,48,14.51,112.7,98.1,64.5,-0.034,-2.57,103.7,106.3,1.74
Youngs St,Youngstown St.,Horz,MM,24,9,0,80.9,7.9,29.6,60.7,1.129,1.019,55.1,116.8,36.5,55.2,77.8,7.7,21,8.5,23,34.5,29,73,51.5,2.7,6.8,14.8,11,1.342,0.71,0.556,71.6,16.3,73,-7.9,45.9,51.7,34.5,51.7,70.6,108.5,13.4,12.6,1.056,0.29,9.5,-1.5,123,129,3.56,112.9,109.4,68,-0.01,-6.63,102.3,108.9,-5.37
Houston Bap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0,,,,,,,,,,,
Kennesaw St,Kennesaw St.,ASun,MM,26,8,14,73.7,2.9,26,56.7,1.028,0.988,52.9,110.8,37.1,51.3,66.3,8,21.5,7.4,23.2,34.3,24.3,76.5,50.7,2.6,7.4,14.1,12.5,1.123,0.742,0.769,71.7,18.2,70.8,-2.9,44.3,51.2,34.8,50.5,69.2,108.7,11.6,13.7,0.843,0.28,10.0,-2.5,115,127,3.64,106.3,102.7,68.5,0.147,-1.52,105.1,106.7,5.05
Portland St,Portland St.,BSky,MM,0,0,0,73.7,-4.6,25.8,59.1,0.997,1.059,49.6,107,33,49.7,73.2,7,21.3,6.9,19.6,29.8,21.6,71.6,44.7,3.2,6.4,12.9,12.1,1.066,0.345,0.556,73.9,23,78.2,4.6,48.9,55,36.8,55,74.1,118.4,14.3,15.4,0.933,0.13,9.6,-2.5,249,238,-5.58,103,108.6,72.4,0.008,0.12,106.2,106.1,5.51
Seton Hall,Seton Hall,BE,P5,17,15,0,68.1,2.6,23.7,53.9,0.982,0.944,49.4,105.9,33.2,49.2,67.9,5.8,17.6,8.5,22.7,34.7,27.9,71.2,50.5,4.3,8.3,12.2,13.8,0.881,0.516,0.455,69.3,17.9,65.5,-2.6,41.8,47.6,31,48.2,72.7,102.6,12.6,14.4,0.879,0.00,12.6,-1.2,77,70,12.23,106.7,94.5,66.5,-0.042,9.46,110,100.6,2.72
N Mex State,New Mexico St.,WAC,MM,0,0,0,71.2,-4,25.1,57.4,0.994,1.05,50.2,106.5,35.1,48.8,68.3,7.3,20.9,8.2,22.5,33.3,25.4,74.4,49.2,2.2,6.7,11.2,13,0.868,0.286,0,71.7,19.3,75.2,4,45.3,53.6,36.8,52.4,72.2,114,12.6,13.5,0.933,-0.07,8.9,-4.1,189,187,-1.12,105.7,106.8,69.3,-0.088,4.01,106.2,102.2,4.46
UCSB,UC Santa Barbara,BW,MM,27,7,14,71.8,6.1,26.3,53.6,1.07,0.979,54.1,115,35.1,54.7,73.7,5.5,15.6,6.7,22.1,31.6,24.8,77.4,50.9,2.5,6.5,13.9,11.1,1.254,0.781,0.778,67.1,16.2,65.8,-6.1,44.4,49.8,34.5,48.9,75.2,106.8,11.6,12.3,0.947,0.31,9.0,-2.1,100,102,6.64,111.3,104.7,65,0.057,-2.38,102.8,105.2,-2.69
Indiana,Indiana,B10,P5,22,11,4,75,6.6,28.5,58.1,1.071,0.977,53.8,113,37,53.2,71.2,5.7,15.3,7.7,25.3,35.8,25.9,73.9,51.5,4.9,5.8,15.4,11.6,1.326,0.667,0.6,70.1,17.3,68.5,-6.6,40.9,47.3,33.2,45.7,70.5,101.4,11.6,11.2,1.035,0.29,10.7,-0.9,30,30,17.36,114.7,97.3,68.1,0.022,10.59,110.7,100.1,-3.4
